"zip","city","county","pop"
"33024","Hollywood","Broward","76508"
"33311","Fort Lauderdale","Broward","76073"
"33023","Hollywood","Broward","73973"
"33012","Hialeah","Miami-Dade","73828"
"33025","Hollywood","Broward","73428"
"33411","West Palm Beach","Palm Beach","72546"
"33647","Tampa","Hillsborough","71004"
"34953","Port St. Lucie","St. Lucie","70705"
"34787","Winter Garden","Orange","69976"
"32828","Orlando","Orange","69497"
"33186","Miami","Miami-Dade","68581"
"33157","Miami","Miami-Dade","67455"
"33015","Hialeah","Miami-Dade","67191"
"32765","Oviedo","Seminole","64268"
"32218","Jacksonville","Duval","64007"
"33463","Lake Worth","Palm Beach","63577"
"33313","Fort Lauderdale","Broward","62842"
"32210","Jacksonville","Duval","62048"
"32822","Orlando","Orange","61760"
"34711","Clermont","Lake","61594"
"33414","West Palm Beach","Palm Beach","61323"
"33064","Pompano Beach","Broward","61293"
"32825","Orlando","Orange","61289"
"33125","Miami","Miami-Dade","61156"
"33027","Hollywood","Broward","60679"
"32244","Jacksonville","Duval","59402"
"32808","Orlando","Orange","59291"
"33142","Miami","Miami-Dade","59073"
"33511","Brandon","Hillsborough","58833"
"33458","Jupiter","Palm Beach","58714"
"33033","Homestead","Miami-Dade","58427"
"32818","Orlando","Orange","58198"
"33065","Pompano Beach","Broward","58171"
"33177","Miami","Miami-Dade","57526"
"32068","Middleburg","Clay","57305"
"34744","Kissimmee","Osceola","57134"
"32771","Sanford","Seminole","56266"
"33161","Miami","Miami-Dade","56130"
"33165","Miami","Miami-Dade","55822"
"33312","Fort Lauderdale","Broward","55298"
"32225","Jacksonville","Duval","55018"
"32162","Lady Lake","Sumter","54951"
"33063","Pompano Beach","Broward","54707"
"33467","Lake Worth","Palm Beach","54261"
"32703","Apopka","Orange","53763"
"33018","Hialeah","Miami-Dade","53419"
"33175","Miami","Miami-Dade","53348"
"33196","Miami","Miami-Dade","53047"
"33126","Miami","Miami-Dade","52986"
"32839","Orlando","Orange","52886"
"33068","Pompano Beach","Broward","52749"
"32259","Jacksonville","St. Johns","52296"
"33176","Miami","Miami-Dade","52288"
"33178","Miami","Miami-Dade","52206"
"33415","West Palm Beach","Palm Beach","51791"
"33612","Tampa","Hillsborough","51745"
"33016","Hialeah","Miami-Dade","51700"
"32792","Winter Park","Orange","51659"
"32246","Jacksonville","Duval","51589"
"32837","Orlando","Orange","51310"
"32174","Ormond Beach","Volusia","51165"
"33810","Lakeland","Polk","51139"
"33032","Homestead","Miami-Dade","50135"
"33193","Miami","Miami-Dade","49999"
"33021","Hollywood","Broward","49941"
"32304","Tallahassee","Leon","49927"
"32725","Deltona","Volusia","49923"
"32608","Gainesville","Alachua","49659"
"33614","Tampa","Hillsborough","49060"
"33324","Fort Lauderdale","Broward","49045"
"32303","Tallahassee","Leon","48507"
"33029","Hollywood","Broward","48161"
"32712","Apopka","Orange","48151"
"34668","Port Richey","Pasco","48146"
"32835","Orlando","Orange","48078"
"32256","Jacksonville","Duval","47943"
"33147","Miami","Miami-Dade","47811"
"33461","Lake Worth","Palm Beach","47735"
"34741","Kissimmee","Osceola","47710"
"33615","Tampa","Hillsborough","47512"
"33617","Tampa","Hillsborough","47441"
"33321","Fort Lauderdale","Broward","47413"
"34135","Bonita Springs","Lee","47356"
"32164","Palm Coast","Flagler","47341"
"33162","Miami","Miami-Dade","47123"
"33610","Tampa","Hillsborough","46799"
"33319","Fort Lauderdale","Broward","46786"
"33155","Miami","Miami-Dade","46617"
"32824","Orlando","Orange","46482"
"34221","Palmetto","Manatee","46357"
"34761","Ocoee","Orange","45864"
"34786","Windermere","Orange","45836"
"32738","Deltona","Volusia","45611"
"32708","Winter Springs","Seminole","45323"
"33010","Hialeah","Miami-Dade","45246"
"32746","Lake Mary","Seminole","45244"
"33020","Hollywood","Broward","45147"
"34743","Kissimmee","Osceola","45109"
"32907","Palm Bay","Brevard","45037"
"34997","Stuart","Martin","44632"
"33436","Boynton Beach","Palm Beach","44489"
"33179","Miami","Miami-Dade","44341"
"34746","Kissimmee","Osceola","44307"
"32224","Jacksonville","Duval","44058"
"32137","Palm Coast","Flagler","43876"
"33172","Miami","Miami-Dade","43356"
"34758","Kissimmee","Osceola","43143"
"34983","Port St. Lucie","St. Lucie","42818"
"32073","Orange Park","Clay","42520"
"32514","Pensacola","Escambia","42444"
"34609","Spring Hill","Hernando","42227"
"32940","Melbourne","Brevard","42171"
"33014","Hialeah","Miami-Dade","41924"
"34655","New Port Richey","Pasco","41872"
"33169","Miami","Miami-Dade","41626"
"33009","Hallandale","Broward","41578"
"34952","Port St. Lucie","St. Lucie","41567"
"33428","Boca Raton","Palm Beach","41441"
"32935","Melbourne","Brevard","41209"
"32811","Orlando","Orange","41057"
"34208","Bradenton","Manatee","40998"
"33418","West Palm Beach","Palm Beach","40926"
"33055","Opa Locka","Miami-Dade","40883"
"33309","Fort Lauderdale","Broward","40844"
"34759","Kissimmee","Polk","40713"
"33880","Winter Haven","Polk","40519"
"33134","Miami","Miami-Dade","40265"
"33433","Boca Raton","Palm Beach","40257"
"32566","Navarre","Santa Rosa","40232"
"33619","Tampa","Hillsborough","40092"
"34748","Leesburg","Lake","39977"
"33624","Tampa","Hillsborough","39803"
"33141","Miami Beach","Miami-Dade","39768"
"33160","North Miami Beach","Miami-Dade","39615"
"33604","Tampa","Hillsborough","39604"
"34293","Venice","Sarasota","39534"
"32404","Panama City","Bay","39503"
"33139","Miami Beach","Miami-Dade","39427"
"33071","Pompano Beach","Broward","39402"
"33322","Fort Lauderdale","Broward","39097"
"33076","Pompano Beach","Broward","39091"
"32257","Jacksonville","Duval","39000"
"34203","Bradenton","Manatee","38971"
"33135","Miami","Miami-Dade","38920"
"32955","Rockledge","Brevard","38889"
"34698","Dunedin","Pinellas","38720"
"33317","Fort Lauderdale","Broward","38427"
"33914","Cape Coral","Lee","38281"
"32216","Jacksonville","Duval","38231"
"33813","Lakeland","Polk","38214"
"33437","Boynton Beach","Palm Beach","38152"
"34785","Wildwood","Sumter","38097"
"32714","Altamonte Springs","Seminole","37981"
"32810","Orlando","Orange","37861"
"33060","Pompano Beach","Broward","37612"
"33905","Fort Myers","Lee","37492"
"32526","Pensacola","Escambia","37470"
"32065","Orange Park","Clay","37195"
"32092","Saint Augustine","St. Johns","37014"
"32724","Deland","Volusia","36961"
"33183","Miami","Miami-Dade","36725"
"33844","Haines City","Polk","36701"
"32506","Pensacola","Escambia","36664"
"33908","Fort Myers","Lee","36513"
"32034","Fernandina Beach","Nassau","36395"
"34207","Bradenton","Manatee","36292"
"33613","Tampa","Hillsborough","36270"
"33435","Boynton Beach","Palm Beach","36166"
"32780","Titusville","Brevard","36116"
"34116","Naples","Collier","36111"
"33056","Opa Locka","Miami-Dade","36110"
"32707","Casselberry","Seminole","36036"
"32826","Orlando","Orange","35981"
"32812","Orlando","Orange","35855"
"33351","Fort Lauderdale","Broward","35769"
"32084","Saint Augustine","St. Johns","35761"
"32817","Orlando","Orange","35737"
"32211","Jacksonville","Duval","35657"
"33133","Miami","Miami-Dade","35592"
"32571","Milton","Santa Rosa","35520"
"34120","Naples","Collier","35498"
"32207","Jacksonville","Duval","35488"
"33073","Pompano Beach","Broward","35378"
"33030","Homestead","Miami-Dade","35303"
"34232","Sarasota","Sarasota","35240"
"34209","Bradenton","Manatee","35172"
"33410","West Palm Beach","Palm Beach","35089"
"32209","Jacksonville","Duval","34945"
"33594","Valrico","Hillsborough","34941"
"34608","Spring Hill","Hernando","34802"
"32807","Orlando","Orange","34749"
"33990","Cape Coral","Lee","34657"
"34653","New Port Richey","Pasco","34588"
"33040","Key West","Monroe","34471"
"33174","Miami","Miami-Dade","34403"
"33801","Lakeland","Polk","34370"
"33881","Winter Haven","Polk","34340"
"32547","Fort Walton Beach","Okaloosa","34330"
"32503","Pensacola","Escambia","34233"
"33710","Saint Petersburg","Pinellas","34222"
"32258","Jacksonville","Duval","34036"
"33756","Clearwater","Pinellas","33971"
"33417","West Palm Beach","Palm Beach","33743"
"33823","Auburndale","Polk","33615"
"34683","Palm Harbor","Pinellas","33514"
"33156","Miami","Miami-Dade","33514"
"33952","Port Charlotte","Charlotte","33390"
"34667","Hudson","Pasco","33272"
"33462","Lake Worth","Palm Beach","33241"
"33409","West Palm Beach","Palm Beach","33212"
"33326","Fort Lauderdale","Broward","33155"
"32578","Niceville","Okaloosa","33130"
"33173","Miami","Miami-Dade","33089"
"33611","Tampa","Hillsborough","33070"
"34119","Naples","Collier","32911"
"32114","Daytona Beach","Volusia","32847"
"32312","Tallahassee","Leon","32783"
"33460","Lake Worth","Palm Beach","32573"
"33180","Miami","Miami-Dade","32441"
"32720","Deland","Volusia","32421"
"33713","Saint Petersburg","Pinellas","32348"
"32277","Jacksonville","Duval","32327"
"34205","Bradenton","Manatee","32294"
"32405","Panama City","Bay","32239"
"34266","Arcadia","De Soto","32229"
"32904","Melbourne","Brevard","32138"
"33884","Winter Haven","Polk","32019"
"33702","Saint Petersburg","Pinellas","32019"
"33127","Miami","Miami-Dade","31902"
"34243","Sarasota","Manatee","31901"
"33026","Hollywood","Broward","31891"
"33054","Opa Locka","Miami-Dade","31797"
"33909","Cape Coral","Lee","31750"
"33013","Hialeah","Miami-Dade","31712"
"33445","Delray Beach","Palm Beach","31703"
"32309","Tallahassee","Leon","31597"
"33407","West Palm Beach","Palm Beach","31551"
"34772","St. Cloud","Osceola","31436"
"33185","Miami","Miami-Dade","31359"
"34472","Ocala","Marion","31344"
"32570","Milton","Santa Rosa","31341"
"32301","Tallahassee","Leon","31317"
"32909","Palm Bay","Brevard","31251"
"32773","Sanford","Seminole","31225"
"33904","Cape Coral","Lee","31086"
"33143","Miami","Miami-Dade","31056"
"32507","Pensacola","Escambia","31036"
"32221","Jacksonville","Duval","30900"
"32208","Jacksonville","Duval","30841"
"33626","Tampa","Hillsborough","30743"
"33145","Miami","Miami-Dade","30713"
"33837","Davenport","Polk","30634"
"32082","Ponte Vedra Beach","St. Johns","30539"
"34142","Immokalee","Collier","30534"
"32127","Daytona Beach","Volusia","30398"
"33771","Largo","Pinellas","30365"
"33809","Lakeland","Polk","30347"
"34231","Sarasota","Sarasota","30341"
"33919","Fort Myers","Lee","30330"
"32205","Jacksonville","Duval","30305"
"33138","Miami","Miami-Dade","30221"
"32607","Gainesville","Alachua","30214"
"32539","Crestview","Okaloosa","30131"
"33917","North Fort Myers","Lee","30049"
"34990","Palm City","Martin","29999"
"33570","Ruskin","Hillsborough","29967"
"32159","Lady Lake","Lake","29920"
"33130","Miami","Miami-Dade","29737"
"32533","Cantonment","Escambia","29713"
"33150","Miami","Miami-Dade","29652"
"33328","Fort Lauderdale","Broward","29626"
"32779","Longwood","Seminole","29603"
"32086","Saint Augustine","St. Johns","29580"
"33510","Brandon","Hillsborough","29574"
"33334","Fort Lauderdale","Broward","29494"
"33803","Lakeland","Polk","29460"
"34639","Land O Lakes","Pasco","29395"
"33325","Fort Lauderdale","Broward","29369"
"32583","Milton","Santa Rosa","29365"
"33144","Miami","Miami-Dade","29344"
"33404","West Palm Beach","Palm Beach","29339"
"32809","Orlando","Orange","29095"
"34684","Palm Harbor","Pinellas","29088"
"33442","Deerfield Beach","Broward","28964"
"33830","Bartow","Polk","28884"
"33705","Saint Petersburg","Pinellas","28857"
"33401","West Palm Beach","Palm Beach","28687"
"32003","Orange Park","Clay","28676"
"32958","Sebastian","Indian River","28617"
"34287","North Port","Sarasota","28614"
"32327","Crawfordville","Wakulla","28525"
"33569","Riverview","Hillsborough","28442"
"34986","Port St. Lucie","St. Lucie","28265"
"33544","Zephyrhills","Pasco","28187"
"33543","Zephyrhills","Pasco","28156"
"33069","Pompano Beach","Broward","28138"
"32757","Mount Dora","Lake","27990"
"33971","Lehigh Acres","Lee","27941"
"32832","Orlando","Orange","27919"
"33993","Cape Coral","Lee","27905"
"32819","Orlando","Orange","27840"
"32168","New Smyrna Beach","Volusia","27679"
"32806","Orlando","Orange","27661"
"33406","West Palm Beach","Palm Beach","27585"
"32937","Satellite Beach","Brevard","27551"
"34689","Tarpon Springs","Pinellas","27445"
"33168","Miami","Miami-Dade","27414"
"32927","Cocoa","Brevard","27377"
"33067","Pompano Beach","Broward","27358"
"33618","Tampa","Hillsborough","27352"
"33441","Deerfield Beach","Broward","27323"
"33764","Clearwater","Pinellas","27320"
"33470","Loxahatchee","Palm Beach","27317"
"33625","Tampa","Hillsborough","27305"
"33308","Fort Lauderdale","Broward","27294"
"33314","Fort Lauderdale","Broward","27261"
"32250","Jacksonville Beach","Duval","27246"
"34606","Spring Hill","Hernando","27209"
"34112","Naples","Collier","27064"
"33629","Tampa","Hillsborough","27061"
"33860","Mulberry","Polk","26893"
"33028","Hollywood","Broward","26848"
"32177","Palatka","Putnam","26845"
"33584","Seffner","Hillsborough","26798"
"32043","Green Cove Springs","Clay","26743"
"33770","Largo","Pinellas","26627"
"33755","Clearwater","Pinellas","26616"
"34491","Summerfield","Marion","26614"
"32789","Winter Park","Orange","26483"
"32962","Vero Beach","Indian River","26459"
"32117","Daytona Beach","Volusia","26425"
"33825","Avon Park","Highlands","26420"
"32505","Pensacola","Escambia","26354"
"33484","Delray Beach","Palm Beach","26299"
"33446","Delray Beach","Palm Beach","26006"
"32563","Gulf Breeze","Santa Rosa","25912"
"33547","Lithia","Hillsborough","25907"
"34471","Ocala","Marion","25734"
"33331","Fort Lauderdale","Broward","25718"
"33703","Saint Petersburg","Pinellas","25699"
"32605","Gainesville","Alachua","25556"
"33805","Lakeland","Polk","25529"
"33913","Fort Myers","Lee","25497"
"33189","Miami","Miami-Dade","25298"
"33928","Estero","Lee","25141"
"34982","Fort Pierce","St. Lucie","25135"
"32901","Melbourne","Brevard","25089"
"32750","Longwood","Seminole","25025"
"34769","St. Cloud","Osceola","24995"
"32233","Atlantic Beach","Duval","24979"
"33916","Fort Myers","Lee","24907"
"33781","Pinellas Park","Pinellas","24856"
"33707","Saint Petersburg","Pinellas","24767"
"34219","Parrish","Manatee","24750"
"33712","Saint Petersburg","Pinellas","24738"
"34202","Bradenton","Manatee","24637"
"33709","Saint Petersburg","Pinellas","24619"
"33444","Delray Beach","Palm Beach","24597"
"32223","Jacksonville","Duval","24571"
"34104","Naples","Collier","24520"
"33936","Lehigh Acres","Lee","24517"
"33907","Fort Myers","Lee","24429"
"33607","Tampa","Hillsborough","24384"
"34482","Ocala","Marion","24352"
"33166","Miami","Miami-Dade","24346"
"34109","Naples","Collier","24251"
"33558","Lutz","Hillsborough","24248"
"32536","Crestview","Okaloosa","24105"
"32060","Live Oak","Suwannee","24064"
"34110","Naples","Collier","23988"
"34974","Okeechobee","Okeechobee","23952"
"32953","Merritt Island","Brevard","23939"
"33426","Boynton Beach","Palm Beach","23866"
"33327","Fort Lauderdale","Broward","23811"
"34652","New Port Richey","Pasco","23688"
"33935","Labelle","Hendry","23513"
"33782","Pinellas Park","Pinellas","23443"
"32606","Gainesville","Alachua","23442"
"32025","Lake City","Columbia","23416"
"33486","Boca Raton","Palm Beach","23325"
"32905","Palm Bay","Brevard","23302"
"33950","Punta Gorda","Charlotte","23299"
"34476","Ocala","Marion","23279"
"32763","Orange City","Volusia","23277"
"34957","Jensen Beach","Martin","23204"
"33556","Odessa","Hillsborough","23182"
"33430","Belle Glade","Palm Beach","23172"
"33573","Sun City Center","Hillsborough","23170"
"33772","Seminole","Pinellas","23125"
"33137","Miami","Miami-Dade","22955"
"32701","Altamonte Springs","Seminole","22940"
"34654","New Port Richey","Pasco","22935"
"33897","Davenport","Polk","22752"
"33634","Tampa","Hillsborough","22719"
"33062","Pompano Beach","Broward","22692"
"33903","North Fort Myers","Lee","22657"
"32504","Pensacola","Escambia","22562"
"33496","Boca Raton","Palm Beach","22530"
"33991","Cape Coral","Lee","22516"
"34601","Brooksville","Hernando","22487"
"32726","Eustis","Lake","22485"
"32751","Maitland","Orange","22471"
"32778","Tavares","Lake","22454"
"32119","Daytona Beach","Volusia","22344"
"32967","Vero Beach","Indian River","22319"
"33811","Lakeland","Polk","22293"
"33870","Sebring","Highlands","22284"
"32311","Tallahassee","Leon","22264"
"32080","Saint Augustine","St. Johns","22261"
"33455","Hobe Sound","Martin","22200"
"32129","Port Orange","Volusia","22185"
"34113","Naples","Collier","22175"
"34677","Oldsmar","Pinellas","22169"
"32444","Lynn Haven","Bay","22163"
"33034","Homestead","Miami-Dade","22142"
"32960","Vero Beach","Indian River","22036"
"32308","Tallahassee","Leon","22029"
"32401","Panama City","Bay","22027"
"34234","Sarasota","Sarasota","21932"
"32926","Cocoa","Brevard","21915"
"33714","Saint Petersburg","Pinellas","21866"
"33184","Miami","Miami-Dade","21785"
"32548","Fort Walton Beach","Okaloosa","21708"
"33323","Fort Lauderdale","Broward","21651"
"33541","Zephyrhills","Pasco","21612"
"33431","Boca Raton","Palm Beach","21610"
"33566","Plant City","Hillsborough","21505"
"33603","Tampa","Hillsborough","21366"
"33901","Fort Myers","Lee","21364"
"34747","Kissimmee","Osceola","21354"
"34212","Bradenton","Manatee","21244"
"32128","Daytona Beach","Volusia","21183"
"33852","Lake Placid","Highlands","21099"
"34771","St. Cloud","Osceola","21052"
"32952","Merritt Island","Brevard","20966"
"34481","Ocala","Marion","20963"
"32305","Tallahassee","Wakulla","20902"
"32713","Debary","Volusia","20892"
"34972","Okeechobee","Okeechobee","20877"
"33487","Boca Raton","Palm Beach","20677"
"33405","West Palm Beach","Palm Beach","20633"
"32796","Titusville","Brevard","20609"
"33167","Miami","Miami-Dade","20582"
"33606","Tampa","Hillsborough","20576"
"33525","Dade City","Pasco","20576"
"33432","Boca Raton","Palm Beach","20487"
"33434","Boca Raton","Palm Beach","20486"
"34275","Nokomis","Sarasota","20472"
"33572","Apollo Beach","Hillsborough","20380"
"32829","Orlando","Orange","20376"
"34691","Holiday","Pasco","20257"
"34286","North Port","Sarasota","20178"
"32803","Orlando","Orange","20148"
"33181","Miami","Miami-Dade","20111"
"32609","Gainesville","Alachua","20105"
"33598","Wimauma","Hillsborough","20053"
"32836","Orlando","Orange","20053"
"34238","Sarasota","Sarasota","20049"
"34473","Ocala","Marion","19998"
"33140","Miami Beach","Miami-Dade","19938"
"32217","Jacksonville","Duval","19899"
"34470","Ocala","Marion","19794"
"33761","Clearwater","Pinellas","19794"
"33440","Clewiston","Hendry","19761"
"33763","Clearwater","Pinellas","19730"
"33711","Saint Petersburg","Pinellas","19706"
"32024","Lake City","Columbia","19452"
"33187","Miami","Miami-Dade","19392"
